Date,Amundi Core MSCI World Swap UCITS ETF Dist (LU2572257124)
02/1993,52917.644694040915
03/1993,56236.80543006102
04/1993,56816.68435408027
05/1993,58244.85329723078
06/1993,59416.59490844425
07/1993,63186.62323904773
08/1993,66561.69798237384
09/1993,62708.082898423774
10/1993,65166.81851208943
11/1993,63105.06594275242
12/1993,66137.67368176815
01/1994,71429.10627947222
02/1994,70205.92308431909
03/1994,65763.20624626632
04/1994,67966.28417754955
05/1994,66650.23140999503
06/1994,65359.77197730503
07/1994,64524.27746712995
08/1994,66518.32801271809
09/1994,64050.863369984094
10/1994,64588.779372737554
11/1994,62680.998891919786
12/1994,64556.893413044774
01/1995,62262.337328976486
02/1995,62453.24419727616
03/1995,62894.73531695827
04/1995,63816.63225834577
05/1995,65331.67563502179
06/1995,64741.21323713184
07/1995,67165.34291865744
08/1995,67631.1931986191
09/1995,70467.89986434611
10/1995,68252.78525127236
11/1995,70748.96280573643
12/1995,73943.6849834016
01/1996,76167.52012825561
02/1996,77043.29098692423
03/1996,78246.5641135058
04/1996,80740.09235725793
05/1996,81760.33067387417
06/1996,81506.61014470135
07/1996,77401.68311840434
08/1996,77552.7361302736
09/1996,81258.54290241352
10/1996,82050.65780140158
11/1996,85506.90579310017
12/1996,85969.04649792626
01/1997,89340.68375764346
02/1997,94273.08830222794
03/1997,93447.4584528396
04/1997,96993.5451138567
05/1997,102631.20935101004
06/1997,108925.61924323105
07/1997,117076.19072128751
08/1997,112321.89773045796
09/1997,115280.92337082048
10/1997,107193.73500055456
11/1997,106809.82156389875
12/1997,110992.33380943864
01/1998,116672.22428132872
02/1998,124251.69607591165
03/1998,129935.83310746428
04/1998,130276.00538521298
05/1998,126643.12999509768
06/1998,130549.75034985787
07/1998,130607.4797551915
08/1998,112687.75336954366
09/1998,109293.38308576659
10/1998,114734.77401660025
11/1998,125037.7295253234
12/1998,130270.04264652952
01/1999,137431.3918327152
02/1999,138176.26966820433
03/1999,147583.7147035732
04/1999,155455.0856968482
05/1999,151747.17399600855
06/1999,160746.44327565146
07/1999,154731.4798003106
08/1999,156177.00202137782
09/1999,153281.38183010198
10/1999,164472.2703967889
11/1999,175011.88906382798
12/1999,190086.97939909314
01/2000,183814.46004807673
02/2000,185718.31613494633
03/2000,201846.84119732102
04/2000,203212.50272125602
05/2000,193368.88787527982
06/2000,194532.530081502
07/2000,195401.84214616986
08/2000,209334.73698979573
09/2000,201332.43588443965
10/2000,206084.46362388544
11/2000,187561.43011367955
12/2000,177820.8927299275
01/2001,181449.52480116216
02/2001,166872.7529864186
03/2001,163198.57692435375
04/2001,174332.78769392223
05/2001,180066.95662214688
06/2001,174369.89087001156
07/2001,166606.28522726163
08/2001,151578.4466712824
09/2001,138585.1492074249
10/2001,142598.4785460985
11/2001,153433.096239243
12/2001,155845.5204799218
01/2002,154161.46488632317
02/2002,152532.60093207532
03/2002,157893.66456839882
04/2002,147691.78546263598
05/2002,141940.42660009113
06/2002,125422.24207168186
07/2002,117072.31579907329
08/2002,116656.40502538435
09/2002,103508.78043110957
10/2002,111073.40896529228
11/2002,116283.83548520724
12/2002,104706.87491153099
01/2003,98410.66955762073
02/2003,96976.83254297038
03/2003,95638.06763270967
04/2003,101890.00144795848
05/2003,101379.4449770348
06/2003,106668.95622090482
07/2003,109852.8606999451
08/2003,116209.73499415588
09/2003,109615.54811717749
10/2003,116390.85040015896
11/2003,114466.14285359373
12/2003,115494.28623674028
01/2004,119659.27535700235
02/2004,121309.95054481654
03/2004,122397.23076856595
04/2004,122649.70252765312
05/2004,121199.94836579707
06/2004,124105.40291864616
07/2004,121189.44573768655
08/2004,120978.26276448599
09/2004,120286.47853975424
10/2004,120036.5054209932
11/2004,121019.50130240519
12/2004,122612.02008382425
01/2005,125219.08260697348
02/2005,127001.57752369839
03/2005,127329.77753263256
04/2005,124601.4250926109
05/2005,133232.45253562616
06/2005,137019.2211091135
07/2005,141770.9646656199
08/2005,141586.04975096774
09/2005,147121.80041434916
10/2005,143754.79946123261
11/2005,151726.58860130014
12/2005,154694.64658021103
01/2006,157295.72237806336
02/2006,160249.31039021717
03/2006,160647.8358963252
04/2006,159781.58890871942
05/2006,150327.35694287636
06/2006,152090.51801448886
07/2006,152367.03737182237
08/2006,155274.8620999591
09/2006,159470.97720195857
10/2006,164828.63830659835
11/2006,162389.9409544887
12/2006,166041.8596077919
01/2007,170775.67743497767
02/2007,166553.67143817086
03/2007,168212.10581286723
04/2007,171897.56719585476
05/2007,178682.03285359454
06/2007,176591.32551039112
07/2007,170106.2190653112
08/2007,169973.65672111942
09/2007,172076.0768584854
10/2007,174035.23843834308
11/2007,163341.62593350201
12/2007,161645.17266241953
01/2008,147769.47305316787
02/2008,144012.70630158338
03/2008,136790.09891950124
04/2008,146476.79198562622
05/2008,148992.7620586141
06/2008,134858.1231717555
07/2008,132829.89134139707
08/2008,138727.78198392162
09/2008,125896.3658810007
10/2008,114369.70336595793
11/2008,107199.78279295086
12/2008,101160.8482249023
01/2009,100210.92902454201
02/2009,91160.38690392135
03/2009,93128.06215886
04/2009,103817.06052040953
05/2009,106596.54418999422
06/2009,105827.59448506583
07/2009,114740.75542965697
08/2009,118333.50289577567
09/2009,119912.72484741888
10/2009,116509.94296884659
11/2009,119451.31269745734
12/2009,126784.29836633906
01/2010,125352.30165718627
02/2010,130808.07202581453
03/2010,139825.0851689717
04/2010,141543.85715440556
05/2010,138444.65335381927
06/2010,134067.06993250427
07/2010,136492.3346061562
08/2010,134979.77714411003
09/2010,137077.28397034618
10/2010,140019.51983221827
11/2010,146026.9332091015
12/2010,152468.80942587802
01/2011,152130.16933674173
02/2011,155815.10409915654
03/2011,150201.99487968755
04/2011,149677.11937840175
05/2011,151386.95816824192
06/2011,148265.8341913903
07/2011,147523.0311663827
08/2011,135301.3139366397
09/2011,132262.16657564274
10/2011,140729.87331620776
11/2011,143235.70558832778
12/2011,148431.8680455959
01/2012,153052.04036247113
02/2012,157314.56536149466
03/2012,160348.76061935216
04/2012,160204.69491458806
05/2012,155919.59146881956
06/2012,161404.6554744189
07/2012,167525.0356651441
08/2012,167290.15945671167
09/2012,167617.66669314512
10/2012,165649.79665928785
11/2012,167833.75115487995
12/2012,168266.49027276112
01/2013,172163.77561621447
02/2013,177949.15169662848
03/2013,186695.70832802975
04/2013,188610.39090604227
05/2013,189607.6735027817
06/2013,183857.7819426753
07/2013,190663.5693934969
08/2013,187137.51036759236
09/2013,192537.08047882598
10/2013,198046.84192577135
11/2013,201977.70796240473
12/2013,203525.8321763007
01/2014,199941.25917252197
02/2014,205402.95631594653
03/2014,206038.9579809326
04/2014,207184.08028663817
05/2014,214998.6597499681
06/2014,217991.76850518212
07/2014,218949.82120538512
08/2014,226978.8125357738
09/2014,231397.6524564473
10/2014,233953.15271459465
11/2014,239386.57331588696
12/2014,242121.09402406646
01/2015,255273.90808457538
02/2015,271750.2326685473
03/2015,279410.0037400703
04/2015,274289.10176092596
05/2015,281335.23616323026
06/2015,269368.1745540138
07/2015,279709.014365334
08/2015,255376.81482023108
09/2015,246178.256591868
10/2015,270131.0329651113
11/2015,279870.44082875806
12/2015,267125.88187664736
01/2016,250341.77998381588
02/2016,249167.18976203023
03/2016,254418.6373310936
04/2016,257994.09972015925
05/2016,265191.87751836685
06/2016,263404.3268915769
07/2016,274217.0978199304
08/2016,273930.87308230903
09/2016,274624.78440089186
10/2016,274553.9597979563
11/2016,286600.2899357813
12/2016,296027.3229989477
01/2017,297090.2061759564
02/2017,309835.49357393215
03/2017,310330.9761158916
04/2017,307987.95389132237
05/2017,306295.7724564701
06/2017,302277.06534686795
07/2017,301147.10257342935
08/2017,299021.68478452746
09/2017,306175.1985775373
10/2017,316413.726350834
11/2017,317460.3049983174
12/2017,317837.30029240076
01/2018,322102.2199641754
02/2018,314847.49564632116
03/2018,305257.82091994834
04/2018,314900.72703732125
05/2018,327114.08474973094
06/2018,328053.3820468994
07/2018,335996.5589699096
08/2018,342579.4056832477
09/2018,346661.74110470474
10/2018,328471.4475520265
11/2018,330949.00572956994
12/2018,303298.8851341029
01/2019,325765.4659564233
02/2019,337623.2561080052
03/2019,347512.16195126064
04/2019,360322.08583713835
05/2019,341511.167603426
06/2019,356632.9989310062
07/2019,365700.2750206124
